Species	Kingdom	Class	Size (Mb)	GC%	Number of genes	Number of proteins	Publication year	Assembly status
Heliconius melpomene cythera	Animals	Insects	221.669	33.3	-	-	2015	Scaffold
Heliconius timareta timareta	Animals	Insects	216.727	33.4	-	-	2015	Scaffold
Microbotryum lychnidis-dioicae	Fungi	Basidiomycetes	26.4564	-	-	-	2016	Scaffold
Corynespora cassiicola	Fungi	Ascomycetes	43.1516	51.6	-	-	2018	Contig
Cyclospora cayetanensis	Protists	Apicomplexans	47.0404	51.7	-	-	2018	Scaffold
Venturia inaequalis	Fungi	Ascomycetes	45.7345	-	-	-	2018	Scaffold
Venturia inaequalis	Fungi	Ascomycetes	44.2084	-	-	-	2018	Scaffold
Cyclospora cayetanensis	Protists	Apicomplexans	44.2034	51.9	-	-	2018	Scaffold
Corynespora cassiicola	Fungi	Ascomycetes	43.2051	51.6	-	-	2018	Contig
Heliconius melpomene cythera	Animals	Insects	184.32	34.4	-	-	2015	Scaffold
Fusarium oxysporum	Fungi	Ascomycetes	47.4507	48.3	-	-	2018	Contig
Oryza rufipogon	Plants	Land Plants	0.403327	43.5	-	-	2019	Contig
Aspergillus flavus	Fungi	Ascomycetes	38.2692	47.2	-	-	2018	Scaffold
Komagataella pastoris	Fungi	Ascomycetes	9.3667	41.1	-	-	2016	Contig
Clavispora lusitaniae	Fungi	Ascomycetes	11.9284	44.5	-	-	2018	Scaffold
Phytophthora ramorum	Protists	Other Protists	70.1219	54.2	-	-	2018	Scaffold
Cryptococcus neoformans var. grubii	Fungi	Basidiomycetes	18.5687	48.2	6941	6941	2017	Scaffold
Pyricularia oryzae	Fungi	Ascomycetes	36.983	51.6	-	-	2014	Contig
Homo sapiens	Animals	Mammals	3239.08	44.4	-	-	2015	Contig
Plasmodium falciparum D6	Protists	Apicomplexans	13.2165	22.4	-	-	2007	Scaffold
Candida albicans P87	Fungi	Ascomycetes	14.461	33.6	6379	6250	2014	Scaffold
Trypanosoma cruzi	Protists	Kinetoplasts	19.0502	-	-	-	2018	Scaffold
Saccharomyces cerevisiae YJM541	Fungi	Ascomycetes	12.9666	38.6692	7389	5398	2015	Chromosome
Triticum aestivum	Plants	Land Plants	452.948	-	-	-	2017	Scaffold
Oryza sativa Japonica Group	Plants	Land Plants	378.097	43.6	-	-	2018	Contig
Oryza sativa Indica Group	Plants	Land Plants	351.225	43.1	-	-	2016	Scaffold
Saccharomyces cerevisiae YJM554	Fungi	Ascomycetes	13.0198	38.6861	7409	5358	2015	Chromosome
Candida albicans 19F	Fungi	Ascomycetes	14.5738	33.7	6410	6277	2014	Scaffold
Trypanosoma cruzi	Protists	Kinetoplasts	17.1852	45	-	-	2018	Scaffold
Homo sapiens	Animals	Mammals	3028.92	44.4	-	-	2015	Contig
Plasmodium falciparum 7G8	Protists	Apicomplexans	24.5591	23	6290	6314	2007	Scaffold
Pyricularia oryzae	Fungi	Ascomycetes	36.7888	51.5	-	-	2014	Contig
Cryptococcus neoformans var. grubii	Fungi	Basidiomycetes	18.6028	48.2	6996	6996	2017	Scaffold
Clavispora lusitaniae	Fungi	Ascomycetes	11.9077	44.5	-	-	2019	Contig
Komagataella pastoris	Fungi	Ascomycetes	9.34687	41.1	-	-	2016	Contig
Aspergillus flavus	Fungi	Ascomycetes	38.053	47.4	-	-	2018	Scaffold
Oryza rufipogon	Plants	Land Plants	0.531837	42.1	-	-	2019	Contig
Fusarium oxysporum	Fungi	Ascomycetes	44.449	48.3	-	-	2018	Contig
Heliconius melpomene bellula	Animals	Insects	228.014	33.3	-	-	2015	Scaffold
Corynespora cassiicola	Fungi	Ascomycetes	44.3899	51	-	-	2018	Contig
Cyclospora cayetanensis	Protists	Apicomplexans	44.3202	51.9	-	-	2018	Scaffold
Venturia inaequalis	Fungi	Ascomycetes	42.3885	-	-	-	2018	Scaffold
Venturia inaequalis	Fungi	Ascomycetes	48.9377	-	-	-	2018	Scaffold
Cyclospora cayetanensis	Protists	Apicomplexans	44.2251	51.9	-	-	2018	Scaffold
Corynespora cassiicola	Fungi	Ascomycetes	43.612	51	-	-	2018	Contig
Heliconius melpomene bellula	Animals	Insects	182.26	33	-	-	2015	Scaffold
Fusarium oxysporum	Fungi	Ascomycetes	46.2821	48.4	-	-	2018	Contig
Oryza rufipogon	Plants	Land Plants	0.576561	41.8	-	-	2019	Contig
Aspergillus flavus	Fungi	Ascomycetes	36.706	48.1	-	-	2018	Scaffold
Komagataella pastoris	Fungi	Ascomycetes	9.36572	41.1	-	-	2016	Contig
Cryptococcus neoformans var. grubii	Fungi	Basidiomycetes	18.5168	48.2	6949	6949	2017	Scaffold
Pyricularia oryzae	Fungi	Ascomycetes	36.1134	51.5	-	-	2014	Contig
Plasmodium falciparum Santa Lucia	Protists	Apicomplexans	23.471	22.1	6179	6195	2007	Scaffold
Homo sapiens	Animals	Mammals	3065.0	44.4	-	-	2015	Contig
Candida albicans L26	Fungi	Ascomycetes	14.5167	33.6	6418	6291	2014	Scaffold
Trypanosoma cruzi	Protists	Kinetoplasts	19.2746	-	-	-	2018	Scaffold
Saccharomyces cerevisiae YJM555	Fungi	Ascomycetes	13.2955	38.7803	7800	5457	2015	Chromosome
Oryza sativa Indica Group	Plants	Land Plants	352.227	41.8	-	-	2016	Scaffold
Oryza sativa Indica Group	Plants	Land Plants	331.819	42	-	-	2016	Scaffold
Saccharomyces cerevisiae YJM627	Fungi	Ascomycetes	12.5811	38.5126	6934	5398	2015	Chromosome
Candida albicans P34048	Fungi	Ascomycetes	14.5429	33.7	6402	6276	2014	Scaffold
Trypanosoma cruzi	Protists	Kinetoplasts	65.0012	39.8	34248	32278	2018	Scaffold
Plasmodium falciparum RAJ116	Protists	Apicomplexans	14.1493	26	3250	3210	2009	Scaffold
Homo sapiens	Animals	Mammals	2995.74	40.9	-	-	2015	Contig
Pyricularia oryzae	Fungi	Ascomycetes	36.3159	51.3	-	-	2014	Contig
Cryptococcus neoformans var. grubii	Fungi	Basidiomycetes	18.5603	48.2	6942	6942	2017	Scaffold
Aspergillus flavus	Fungi	Ascomycetes	36.6672	48.2	-	-	2018	Scaffold
Komagataella pastoris	Fungi	Ascomycetes	9.35171	41.1	-	-	2016	Contig
Oryza rufipogon	Plants	Land Plants	0.456272	43.4	-	-	2019	Contig
Fusarium oxysporum	Fungi	Ascomycetes	46.2527	48.4	-	-	2018	Contig
Heliconius melpomene ecuadorensis	Animals	Insects	218.066	34.1	-	-	2015	Scaffold
Corynespora cassiicola	Fungi	Ascomycetes	43.6422	51	-	-	2018	Contig
Cyclospora cayetanensis	Protists	Apicomplexans	44.2315	51.9	-	-	2018	Scaffold
Venturia inaequalis	Fungi	Ascomycetes	36.9105	48.9	-	-	2018	Scaffold
Venturia inaequalis	Fungi	Ascomycetes	60.8229	-	-	-	2018	Scaffold
Cyclospora cayetanensis	Protists	Apicomplexans	44.3182	51.9	-	-	2018	Scaffold
Corynespora cassiicola	Fungi	Ascomycetes	41.6388	51.8	-	-	2018	Contig
Heliconius melpomene ecuadorensis	Animals	Insects	147.116	34.2	-	-	2015	Scaffold
Fusarium oxysporum f. sp. conglutinans	Fungi	Ascomycetes	52.5428	48.1	-	-	2016	Scaffold
Oryza rufipogon	Plants	Land Plants	0.426264	43.4	-	-	2019	Contig
Komagataella pastoris	Fungi	Ascomycetes	9.35264	41.1	-	-	2016	Contig
Aspergillus flavus	Fungi	Ascomycetes	37.0742	48.2	-	-	2018	Scaffold
Cryptococcus neoformans var. grubii	Fungi	Basidiomycetes	18.557	48.2	6942	6942	2017	Scaffold
Pyricularia oryzae	Fungi	Ascomycetes	36.3912	51.5	-	-	2014	Contig
Plasmodium falciparum IGH-CR14	Protists	Apicomplexans	21.7788	21.3	5125	5073	2009	Scaffold
Homo sapiens	Animals	Mammals	3006.46	44.4	-	-	2015	Contig
Candida albicans P57055	Fungi	Ascomycetes	14.5943	33.7	6415	6287	2014	Scaffold
Trypanosoma cruzi	Protists	Kinetoplasts	25.1748	47.4	13488	12708	2018	Scaffold
Saccharomyces cerevisiae YJM681	Fungi	Ascomycetes	12.3431	38.4025	6584	5397	2015	Chromosome
Oryza sativa	Plants	Land Plants	307.225	41.4	-	-	2016	Scaffold
Oryza sativa	Plants	Land Plants	295.39	41	-	-	2016	Scaffold
Saccharomyces cerevisiae YJM682	Fungi	Ascomycetes	12.2746	38.3901	6623	5440	2015	Chromosome
Candida albicans P75063	Fungi	Ascomycetes	14.4537	33.6	6388	6260	2014	Scaffold
Plasmodium falciparum NF54	Protists	Apicomplexans	25.8002	28.4	5938	5936	2013	Scaffold
Homo sapiens	Animals	Mammals	2939.63	40.9	-	-	2015	Contig
Pyricularia oryzae	Fungi	Ascomycetes	36.2884	51.6	-	-	2014	Contig
Cryptococcus neoformans var. grubii	Fungi	Basidiomycetes	18.5056	48.2	6943	6943	2017	Scaffold
Aspergillus flavus	Fungi	Ascomycetes	38.7565	48.1	-	-	2018	Scaffold
Komagataella pastoris	Fungi	Ascomycetes	9.3553	41.1	-	-	2016	Contig
Oryza rufipogon	Plants	Land Plants	0.430311	43.4	-	-	2019	Contig
Fusarium oxysporum f. sp. cucumerinum	Fungi	Ascomycetes	48.8929	47.6	-	-	2016	Scaffold
Heliconius melpomene malleti x Heliconius melpomene plesseni	Animals	Insects	235.62	33.2	-	-	2015	Scaffold
Corynespora cassiicola	Fungi	Ascomycetes	41.3512	52.1	-	-	2018	Contig
Cyclospora cayetanensis	Protists	Apicomplexans	44.2948	51.9	-	-	2018	Scaffold
Venturia inaequalis	Fungi	Ascomycetes	43.7823	-	-	-	2018	Scaffold
Venturia inaequalis	Fungi	Ascomycetes	48.5705	-	-	-	2018	Scaffold
Cyclospora cayetanensis	Protists	Apicomplexans	44.3425	51.9	-	-	2018	Scaffold
Corynespora cassiicola	Fungi	Ascomycetes	42.07	51.9	-	-	2018	Contig
Heliconius melpomene malleti	Animals	Insects	182.841	36.7	-	-	2015	Scaffold
Fusarium oxysporum f. sp. niveum	Fungi	Ascomycetes	54.7182	47.4	-	-	2016	Scaffold
Oryza rufipogon	Plants	Land Plants	0.427134	43.3	-	-	2019	Contig
Komagataella pastoris	Fungi	Ascomycetes	9.35534	41.1	-	-	2016	Contig
Aspergillus flavus	Fungi	Ascomycetes	36.6161	48.2	-	-	2018	Scaffold
Cryptococcus neoformans var. grubii	Fungi	Basidiomycetes	18.5212	48.2	6947	6947	2017	Scaffold
Pyricularia oryzae	Fungi	Ascomycetes	36.4469	51.6	-	-	2014	Contig
Homo sapiens	Animals	Mammals	3053.65	44.4	-	-	2015	Contig
Plasmodium falciparum UGT5.1	Protists	Apicomplexans	25.5834	27	5918	5922	2013	Scaffold
Candida albicans P76067	Fungi	Ascomycetes	14.6223	33.8	6373	6250	2014	Scaffold
Saccharomyces cerevisiae YJM683	Fungi	Ascomycetes	12.4278	38.4379	6812	5461	2015	Chromosome
Oryza sativa Japonica Group	Plants	Land Plants	43.3424	43.8	12165	7192	2003	Chromosome
Oryza sativa	Plants	Land Plants	0.4229	43.4	-	-	2019	Contig
Saccharomyces cerevisiae YJM689	Fungi	Ascomycetes	12.19	38.3968	6573	5391	2015	Chromosome
Candida albicans P76055	Fungi	Ascomycetes	14.4534	33.7	6357	6228	2014	Scaffold
Plasmodium falciparum Vietnam Oak-Knoll (FVO)	Protists	Apicomplexans	25.8857	25	6227	6234	2014	Scaffold
Homo sapiens	Animals	Mammals	3106.56	44.4	-	-	2015	Contig
Pyricularia oryzae	Fungi	Ascomycetes	35.6693	51.2	-	-	2014	Contig
Cryptococcus neoformans var. grubii A5-35-17	Fungi	Basidiomycetes	18.8117	48.2	7144	7144	2017	Scaffold
Aspergillus flavus	Fungi	Ascomycetes	36.9486	48.2	-	-	2018	Scaffold
Komagataella pastoris	Fungi	Ascomycetes	9.35815	41.1	-	-	2016	Contig
Oryza rufipogon	Plants	Land Plants	0.435203	43.5	-	-	2019	Contig
Fusarium oxysporum f. sp. cucumerinum	Fungi	Ascomycetes	51.3943	47.3	-	-	2016	Scaffold
Heliconius melpomene melpomene	Animals	Insects	305.561	32.1	-	-	2015	Scaffold
Corynespora cassiicola	Fungi	Ascomycetes	43.9108	50.7	-	-	2018	Contig
Cyclospora cayetanensis	Protists	Apicomplexans	44.3949	51.9	-	-	2018	Scaffold
Venturia inaequalis	Fungi	Ascomycetes	61.8437	-	-	-	2018	Scaffold
Venturia inaequalis	Fungi	Ascomycetes	43.6566	-	-	-	2018	Scaffold
Cyclospora cayetanensis	Protists	Apicomplexans	44.4438	51.9	-	-	2018	Scaffold
Corynespora cassiicola	Fungi	Ascomycetes	41.036	52.6	-	-	2018	Contig
Heliconius melpomene melpomene	Animals	Insects	322.26	31.9	-	-	2015	Scaffold
Fusarium oxysporum f. sp. cucumerinum	Fungi	Ascomycetes	57.4359	47.2	-	-	2016	Scaffold
Oryza rufipogon	Plants	Land Plants	0.418576	43.4	-	-	2019	Contig
Komagataella pastoris	Fungi	Ascomycetes	9.35931	41.1	-	-	2016	Contig
Aspergillus flavus	Fungi	Ascomycetes	36.8132	48.1	-	-	2018	Scaffold
Cryptococcus neoformans var. grubii	Fungi	Basidiomycetes	18.6103	48.2	6927	6927	2017	Scaffold
Pyricularia oryzae	Fungi	Ascomycetes	35.6138	51.1	-	-	2014	Contig
Homo sapiens	Animals	Mammals	2949.29	40.9	-	-	2015	Contig
Plasmodium falciparum MaliPS096_E11	Protists	Apicomplexans	26.6052	26.2	6304	6317	2014	Scaffold
Candida albicans P37039	Fungi	Ascomycetes	14.5236	33.7	6389	6257	2014	Scaffold
Saccharomyces cerevisiae YJM693	Fungi	Ascomycetes	13.1201	38.7386	7538	5372	2015	Chromosome
Oryza sativa	Plants	Land Plants	0.413512	43.5	-	-	2019	Contig
Oryza sativa	Plants	Land Plants	0.415611	43.6	-	-	2019	Contig
Saccharomyces cerevisiae YJM969	Fungi	Ascomycetes	12.359000000000002	38.439	6766	5451	2015	Chromosome
Candida albicans P60002	Fungi	Ascomycetes	14.7914	34	6359	6234	2014	Scaffold
Plasmodium falciparum Tanzania (2000708)	Protists	Apicomplexans	27.0235	25.8	6702	6719	2014	Scaffold
Homo sapiens	Animals	Mammals	2989.43	40.9	-	-	2015	Contig
Pyricularia oryzae	Fungi	Ascomycetes	35.5714	51.7	-	-	2014	Contig
Cryptococcus neoformans var. grubii D17-1	Fungi	Basidiomycetes	18.6391	48.3	6895	6895	2017	Scaffold
Aspergillus flavus	Fungi	Ascomycetes	36.5675	48.2	-	-	2018	Scaffold
Komagataella pastoris	Fungi	Ascomycetes	9.35593	41.1	-	-	2016	Contig
Oryza rufipogon	Plants	Land Plants	0.522775	42.6	-	-	2019	Contig
Fusarium oxysporum f. sp. cucumerinum	Fungi	Ascomycetes	56.8574	47.1	-	-	2016	Scaffold
Heliconius melpomene melpomene	Animals	Insects	322.277	32.9	-	-	2015	Scaffold
Corynespora cassiicola	Fungi	Ascomycetes	41.9972	51.6	-	-	2018	Contig
Cyclospora cayetanensis	Protists	Apicomplexans	44.3215	51.9	-	-	2018	Scaffold
Venturia inaequalis	Fungi	Ascomycetes	61.2225	-	-	-	2018	Scaffold
Venturia inaequalis	Fungi	Ascomycetes	35.0781	48.3	-	-	2018	Scaffold
Cyclospora cayetanensis	Protists	Apicomplexans	44.5466	51.9	-	-	2018	Scaffold
Corynespora cassiicola	Fungi	Ascomycetes	41.6407	51.8	-	-	2018	Contig
Heliconius melpomene meriana	Animals	Insects	144.64	34.7	-	-	2015	Scaffold
Fusarium oxysporum f. sp. cucumerinum	Fungi	Ascomycetes	51.983	47.2	-	-	2016	Scaffold
Oryza rufipogon	Plants	Land Plants	0.399871	43.5	-	-	2019	Contig
Aspergillus flavus	Fungi	Ascomycetes	36.848	48.3	-	-	2018	Scaffold
Cryptococcus neoformans var. grubii Th84	Fungi	Basidiomycetes	18.5985	47.6	6941	6941	2017	Scaffold
Pyricularia oryzae	Fungi	Ascomycetes	36.3842	51.5	-	-	2014	Contig
Homo sapiens	Animals	Mammals	3085.19	44.4	-	-	2015	Contig
Plasmodium falciparum NF135/5.C10	Protists	Apicomplexans	24.499	22.8	6331	6349	2014	Scaffold
Candida albicans P75010	Fungi	Ascomycetes	14.8628	34.1	6376	6245	2014	Scaffold
Saccharomyces cerevisiae YJM972	Fungi	Ascomycetes	12.9616	38.7006	7489	5438	2015	Chromosome
Oryza sativa	Plants	Land Plants	0.414261	43.5	-	-	2019	Contig
Oryza sativa	Plants	Land Plants	0.413182	43.5	-	-	2019	Contig
Saccharomyces cerevisiae YJM975	Fungi	Ascomycetes	12.2218	38.3826	6603	5433	2015	Chromosome
Candida albicans P75016	Fungi	Ascomycetes	14.6803	34	6365	6235	2014	Scaffold
Plasmodium falciparum Palo Alto/Uganda	Protists	Apicomplexans	24.5624	25.8	6039	6048	2014	Scaffold
Homo sapiens	Animals	Mammals	2987.97	40.9	-	-	2016	Contig
Pyricularia oryzae	Fungi	Ascomycetes	35.9671	51.2	-	-	2014	Contig
Cryptococcus neoformans var. grubii Tu259-1	Fungi	Basidiomycetes	18.5732	47.7	6942	6942	2017	Scaffold
Aspergillus flavus	Fungi	Ascomycetes	36.7836	48.1	-	-	2018	Scaffold
Oryza rufipogon	Plants	Land Plants	0.466007	43.2	-	-	2019	Contig
Fusarium oxysporum f. sp. cucumerinum	Fungi	Ascomycetes	56.8031	47.3	-	-	2016	Scaffold
Heliconius melpomene meriana	Animals	Insects	233.711	36	-	-	2015	Scaffold
Corynespora cassiicola	Fungi	Ascomycetes	42.9595	51.6	-	-	2018	Contig
Cyclospora cayetanensis	Protists	Apicomplexans	44.7505	51.9	-	-	2018	Scaffold
Venturia inaequalis	Fungi	Ascomycetes	37.4856	48.2	-	-	2018	Scaffold
Venturia inaequalis	Fungi	Ascomycetes	39.6289	-	-	-	2018	Scaffold
Cyclospora cayetanensis	Protists	Apicomplexans	44.2483	51.9	-	-	2018	Scaffold
Corynespora cassiicola	Fungi	Ascomycetes	40.981	52.6	-	-	2018	Contig
Heliconius melpomene plesseni	Animals	Insects	240.751	34.5	-	-	2015	Scaffold
Fusarium oxysporum f. sp. cucumerinum	Fungi	Ascomycetes	48.3963	47.3	-	-	2016	Scaffold
Oryza rufipogon	Plants	Land Plants	0.439065	43.5	-	-	2019	Contig
Aspergillus flavus	Fungi	Ascomycetes	36.8754	48.2	-	-	2018	Scaffold
Cryptococcus neoformans var. grubii Bt15	Fungi	Basidiomycetes	18.7261	47.4	6917	6917	2017	Scaffold
Pyricularia oryzae	Fungi	Ascomycetes	35.7743	51.2	-	-	2014	Contig
Homo sapiens	Animals	Mammals	2944.69	44.4	-	-	2016	Contig
Plasmodium falciparum CAMP/Malaysia	Protists	Apicomplexans	23.5691	22.9	6100	6118	2014	Scaffold
Candida albicans P78042	Fungi	Ascomycetes	14.6768	33.7	6425	6299	2014	Scaffold
Saccharomyces cerevisiae YJM978	Fungi	Ascomycetes	12.4892	38.529	6963	5446	2015	Chromosome
Oryza sativa	Plants	Land Plants	0.421534	43.5	-	-	2019	Contig
Oryza sativa	Plants	Land Plants	0.413692	43.5	-	-	2019	Contig
Saccharomyces cerevisiae YJM981	Fungi	Ascomycetes	12.8972	38.6801	7457	5476	2015	Chromosome
Candida albicans SC5314	Fungi	Ascomycetes	15.2131	34	6524	6392	2014	Scaffold
Plasmodium falciparum FCH/4	Protists	Apicomplexans	24.6945	32.2	5778	5770	2014	Scaffold
Homo sapiens	Animals	Mammals	3031.78	44.5	-	-	2016	Contig
Pyricularia oryzae	Fungi	Ascomycetes	37.0979	51.1	-	-	2014	Contig
Cryptococcus neoformans var. grubii A2-102-5	Fungi	Basidiomycetes	18.6683	47.4	6915	6915	2017	Scaffold
Aspergillus flavus	Fungi	Ascomycetes	36.8471	48.1	-	-	2018	Scaffold
Oryza rufipogon	Plants	Land Plants	0.5568	42.5	-	-	2019	Contig
Fusarium oxysporum f. sp. radicis-cucumerinum	Fungi	Ascomycetes	49.3392	47.6	-	-	2016	Scaffold
Heliconius melpomene plesseni	Animals	Insects	200.558	34.1	-	-	2015	Scaffold
Corynespora cassiicola	Fungi	Ascomycetes	42.9448	51.8	-	-	2018	Contig
Cyclospora cayetanensis	Protists	Apicomplexans	44.4658	51.9	-	-	2018	Scaffold
Venturia inaequalis	Fungi	Ascomycetes	35.278	-	-	-	2018	Scaffold
Venturia inaequalis	Fungi	Ascomycetes	40.429	-	-	-	2018	Scaffold
Corynespora cassiicola	Fungi	Ascomycetes	42.5037	51.8	-	-	2017	Scaffold
Heliconius melpomene rosina	Animals	Insects	322.345	32	-	-	2015	Scaffold
Fusarium oxysporum f. sp. cucumerinum	Fungi	Ascomycetes	51.6098	47.4	-	-	2016	Scaffold
Oryza rufipogon	Plants	Land Plants	0.460371	43.2	-	-	2019	Contig
Aspergillus flavus	Fungi	Ascomycetes	36.9267	48.3	-	-	2018	Scaffold
Cryptococcus neoformans var. grubii Ze90-1	Fungi	Basidiomycetes	18.6589	47.1	6912	6912	2017	Scaffold
Pyricularia oryzae	Fungi	Ascomycetes	35.9461	51.4	-	-	2014	Contig
Homo sapiens	Animals	Mammals	2908.57	40.9	-	-	2016	Contig
Plasmodium falciparum 318.1	Protists	Apicomplexans	28.1457	19.8	-	-	2016	Contig
Candida albicans SC5314	Fungi	Ascomycetes	14.6999	33.6	6470	6337	2014	Scaffold
Saccharomyces cerevisiae YJM984	Fungi	Ascomycetes	13.0626	38.7448	7602	5424	2015	Chromosome
Oryza sativa	Plants	Land Plants	0.412833	43.5	-	-	2019	Contig
Oryza sativa	Plants	Land Plants	0.412413	43.5	-	-	2019	Contig
Saccharomyces cerevisiae YJM987	Fungi	Ascomycetes	12.9731	38.7034	7532	5482	2015	Chromosome
Candida albicans Ca6	Fungi	Ascomycetes	14.7163	33.6	6434	6303	2014	Scaffold
Plasmodium falciparum 383.1	Protists	Apicomplexans	29.4586	19.6	-	-	2016	Contig
Homo sapiens	Animals	Mammals	4815.34	41	-	-	2016	Contig
Pyricularia oryzae	Fungi	Ascomycetes	36.2555	51.3	-	-	2014	Contig
Cryptococcus neoformans var. grubii MW-RSA36	Fungi	Basidiomycetes	18.4475	48.2	6911	6911	2017	Scaffold
Aspergillus flavus	Fungi	Ascomycetes	37.0011	48.3	-	-	2018	Scaffold
Oryza rufipogon	Plants	Land Plants	0.428734	43.4	-	-	2019	Contig
Fusarium oxysporum f. sp. niveum	Fungi	Ascomycetes	49.7246	47.6	-	-	2016	Scaffold
Heliconius melpomene thelxiopeia	Animals	Insects	267.032	34	-	-	2015	Scaffold
Venturia inaequalis	Fungi	Ascomycetes	39.5167	-	-	-	2018	Scaffold
Venturia inaequalis	Fungi	Ascomycetes	59.0775	-	-	-	2018	Scaffold
Heliconius melpomene vulcanus	Animals	Insects	157.965	33.9	-	-	2015	Scaffold
Fusarium oxysporum f. sp. radicis-cucumerinum	Fungi	Ascomycetes	49.3455	47.6	-	-	2016	Scaffold
Oryza rufipogon	Plants	Land Plants	0.437726	43.2	-	-	2019	Contig
Aspergillus flavus	Fungi	Ascomycetes	36.4879	48.3	-	-	2018	Scaffold
Cryptococcus neoformans var. grubii c8	Fungi	Basidiomycetes	18.6299	47.6	6961	6961	2017	Scaffold
Pyricularia oryzae	Fungi	Ascomycetes	36.2356	51.1	-	-	2014	Contig
Homo sapiens	Animals	Mammals	2882.0	40.9	-	-	2017	Contig
Plasmodium falciparum 366.1	Protists	Apicomplexans	28.2026	19.8	-	-	2016	Contig
Candida albicans	Fungi	Ascomycetes	15.2645	29.8	-	-	2017	Scaffold
Saccharomyces cerevisiae YJM990	Fungi	Ascomycetes	12.1965	38.4915	6793	5385	2015	Chromosome
Oryza sativa	Plants	Land Plants	0.412758	43.5	-	-	2019	Contig
Oryza sativa	Plants	Land Plants	0.426436	43.4	-	-	2019	Contig
Saccharomyces cerevisiae YJM996	Fungi	Ascomycetes	12.6958	38.6096	7258	5474	2015	Chromosome
Candida albicans	Fungi	Ascomycetes	15.5222	30.1	-	-	2017	Scaffold
Plasmodium falciparum 398.1	Protists	Apicomplexans	30.1573	20.1	-	-	2016	Contig
Homo sapiens	Animals	Mammals	2884.53	40.9	-	-	2017	Contig
Pyricularia oryzae	Fungi	Ascomycetes	36.003	51.1	-	-	2014	Contig
Cryptococcus neoformans var. grubii Bt120	Fungi	Basidiomycetes	18.8514	46.7	6906	6906	2017	Scaffold
Aspergillus flavus	Fungi	Ascomycetes	36.6525	48.2	-	-	2018	Scaffold
Oryza rufipogon	Plants	Land Plants	0.420063	43.5	-	-	2019	Contig
Fusarium oxysporum f. sp. niveum	Fungi	Ascomycetes	51.9743	47.4	-	-	2016	Scaffold
Heliconius melpomene vulcanus	Animals	Insects	225.751	34.8	-	-	2015	Scaffold
Venturia inaequalis	Fungi	Ascomycetes	65.1165	-	-	-	2018	Scaffold
Venturia inaequalis	Fungi	Ascomycetes	39.6138	-	-	-	2018	Scaffold
Heliconius melpomene melpomene	Animals	Insects	66.9513	32.8	-	-	2012	Contig
Fusarium oxysporum f. sp. niveum	Fungi	Ascomycetes	54.216	47.4	-	-	2016	Scaffold
Oryza rufipogon	Plants	Land Plants	0.435078	43.3	-	-	2019	Contig
Aspergillus flavus	Fungi	Ascomycetes	36.5748	48.2	-	-	2018	Scaffold
Cryptococcus neoformans var. grubii Tu401-1	Fungi	Basidiomycetes	18.574	47.3	6862	6862	2017	Scaffold
Pyricularia oryzae	Fungi	Ascomycetes	36.0034	51.1	-	-	2014	Contig
Homo sapiens	Animals	Mammals	2864.26	40.9	-	-	2018	Contig
Plasmodium falciparum 58.1	Protists	Apicomplexans	31.5301	20	-	-	2016	Scaffold
Candida albicans	Fungi	Ascomycetes	15.64	30	-	-	2017	Scaffold
Saccharomyces cerevisiae YJM1133	Fungi	Ascomycetes	12.1187	38.4497	6604	5333	2015	Chromosome
Oryza sativa	Plants	Land Plants	0.411428	43.5	-	-	2019	Contig
Oryza sativa	Plants	Land Plants	0.42347	43.5	-	-	2019	Contig
Saccharomyces cerevisiae YJM1190	Fungi	Ascomycetes	12.9065	38.6633	7378	5441	2015	Chromosome
Candida albicans	Fungi	Ascomycetes	14.9816	31.5	-	-	2017	Scaffold
Plasmodium falciparum 303.1	Protists	Apicomplexans	32.0082	20.1	-	-	2016	Scaffold
Homo sapiens	Animals	Mammals	2878.06	40.9	-	-	2018	Contig
Pyricularia oryzae	Fungi	Ascomycetes	35.8019	51.3	-	-	2014	Contig
Cryptococcus neoformans var. grubii Gb118	Fungi	Basidiomycetes	18.4523	47.9	6908	6908	2017	Scaffold
Aspergillus flavus	Fungi	Ascomycetes	36.6937	48.1	-	-	2018	Scaffold
Oryza rufipogon	Plants	Land Plants	0.512907	42.8	-	-	2019	Contig
Fusarium oxysporum f. sp. niveum	Fungi	Ascomycetes	55.4715	47.3	-	-	2016	Scaffold
Heliconius melpomene amaryllis	Animals	Insects	18.5734	31.4	-	-	2015	Scaffold
Venturia inaequalis	Fungi	Ascomycetes	42.8078	-	-	-	2018	Scaffold
Venturia inaequalis	Fungi	Ascomycetes	40.335	-	-	-	2018	Scaffold
Heliconius melpomene aglaope	Animals	Insects	13.6608	31.6	-	-	2015	Scaffold
Fusarium oxysporum f. sp. niveum	Fungi	Ascomycetes	52.059	47.5	-	-	2016	Scaffold
Oryza rufipogon	Plants	Land Plants	0.429759	43.4	-	-	2019	Contig
Aspergillus flavus	Fungi	Ascomycetes	36.9763	48.3	-	-	2018	Scaffold
Cryptococcus neoformans var. grubii Bt63	Fungi	Basidiomycetes	18.7932	47.1	6914	6914	2017	Scaffold
Pyricularia oryzae B157	Fungi	Ascomycetes	37.7574	51.3	-	-	2015	Contig
Homo sapiens	Animals	Mammals	2876.0	40.9	-	-	2018	Contig
